id,yield
15289,4278.76321
15290,5954.51315
15291,7243.22611
15292,4641.00151
15293,3834.5748
15294,5124.8549
15295,7267.28344
15296,6465.37205
15297,8212.79289
15298,4234.86859
15299,5807.00693
15300,5781.85965
15301,5538.91301
15302,5695.56442
15303,4966.77945
15304,4710.85865
15305,4667.72494
15306,6449.04157
15307,4898.83586
15308,5867.99722
15309,6281.91711
15310,7340.46077
15311,5124.8549
15312,5313.37828
15313,6480.80815
15314,4975.88538
15315,4387.74185
15316,7969.02575
15317,5695.56442
15318,7825.87492
15319,8211.0795
15320,7071.61532
15321,6717.44627
15322,2825.00374
15323,5882.96562
15324,2688.02883
15325,6515.30587
15326,6370.89887
15327,4162.76156
15328,7778.34916
15329,7502.24389
15330,5154.97591
15331,5828.73212
15332,6862.90839
15333,6325.26613
15334,5548.12201
15335,8064.73881
15336,4245.28573
15337,7626.61733
15338,6491.22353
15339,5504.75083
15340,6799.72918
15341,5596.22636
15342,5136.93247
15343,6717.44627
15344,6202.32702
15345,4303.94303
15346,6226.28514
15347,6249.47082
15348,5291.89688
15349,6524.29532
15350,4572.12637
15351,6235.45278
15352,5794.89185
15353,6898.39095
15354,4357.82292
15355,4387.74185
15356,5971.39402
15357,6347.56076
15358,7041.38018
15359,4888.50303
15360,4162.76156
15361,5605.221
15362,6157.05484
15363,6708.24129
15364,4789.59697
15365,4387.74185
15366,4745.46028
15367,7541.6674
15368,4850.03746
15369,5628.71053
15370,6503.27204
15371,2946.92602
15372,4769.31827
15373,6255.89064
15374,5596.22636
15375,5504.75083
15376,5807.00693
15377,5597.02216
15378,4641.00151
15379,6157.05484
15380,7317.95104
15381,6235.45278
15382,5735.13303
15383,7380.6338
15384,5381.27266
15385,3784.11935
15386,3626.36653
15387,3937.91539
15388,6770.23332
15389,6157.05484
15390,8134.72655
15391,6529.98232
15392,7219.76039
15393,5781.85965
15394,6037.68613
15395,5566.52275
15396,6821.8081
15397,6779.98166
15398,6030.98074
15399,5750.88107
15400,4830.95981
15401,6235.45278
15402,6244.19576
15403,6301.03442
15404,7267.28344
15405,7381.97333
15406,8175.45619
15407,5750.88107
15408,7588.36096
15409,5728.74828
15410,5882.96562
15411,8247.52116
15412,6514.63899
15413,6821.8081
15414,5781.85965
15415,6037.68613
15416,6922.84679
15417,5828.73212
15418,7565.10416
15419,4320.87416
15420,3911.42225
15421,6328.89332
15422,3626.36653
15423,6480.80815
15424,6514.63899
15425,6941.82413
15426,3712.99786
15427,7628.6476
15428,6409.14001
15429,7357.3589
15430,7064.16978
15431,5597.02216
15432,5322.84043
15433,4684.89321
15434,8318.79889
15435,4010.55215
15436,4705.62653
15437,4952.9856
15438,5605.221
15439,6691.04322
15440,5605.221
15441,6683.20061
15442,5323.30034
15443,4644.60117
15444,5637.9843
15445,3447.0821
15446,6645.56998
15447,6539.11085
15448,7963.93931
15449,8212.79289
15450,7181.42522
15451,5393.56434
15452,4393.52743
15453,7411.17457
15454,6392.35667
15455,8357.06722
15456,6461.67087
15457,6626.50685
15458,5605.221
15459,6315.23321
15460,5663.06579
15461,4924.35736
15462,5367.61826
15463,6683.20061
15464,6374.4443
15465,6779.98166
15466,7340.46077
15467,7241.37053
15468,3471.19214
15469,2605.69676
15470,7381.97333
15471,7267.28344
15472,7064.16978
15473,5367.61826
15474,6628.76363
15475,5124.8549
15476,5296.61109
15477,5649.03716
15478,4737.63925
15479,7303.58812
15480,6757.07366
15481,6422.92209
15482,6465.37205
15483,6929.5548
15484,6451.10052
15485,7411.17457
15486,6335.29639
15487,7835.76779
15488,6808.26361
15489,5535.05665
15490,6500.09778
15491,6645.56998
15492,5504.75083
15493,7340.46077
15494,6422.92209
